C02020,C02170,C02013,C02016,C02050,C02060,C02068,C02070,C02090,C02100,C02105,C02110,C02122,C02130,C02150,C02158,C02164,C02180,C02185,C02188,C02195,C02198,C02220,C02230,C02240,C02261,C02275,C02282,C02290
261.6989866,286.035564,241.7882467,264.2381321,272.6569877,268.5010027,247.356282,248.3380691,249.7633641,269.7353868,249.8627377,296.5679694,281.243966,284.5899844,264.9524795,256.949217,249.2181701,261.3380298,277.3420488,277.0703391,267.9204001,269.0196158,282.3046308,269.720118,228.3615295,263.6638286,274.2821801,271.3511379,250.559654
264.2644091,267.7419341,249.8424284,242.7241256,253.0325028,256.6926933,303.3210452,289.2639801,265.4303971,250.8534428,249.2926849,266.4036711,262.1376545,233.3018893,255.3296729,252.2381214,272.5267587,253.6721455,288.6802649,273.5593891,281.2158939,247.4897772,272.0331643,258.4129813,263.1685076,248.6813209,268.2738134,254.1488798,257.5811422
260.8980859,252.2989613,250.9457048,265.8443281,255.2030021,259.9933731,267.0137446,223.1015036,260.9643221,239.8153216,234.0800209,257.3156301,265.2202607,277.1882884,269.4169646,262.3603717,250.9737536,253.7311628,252.6460099,254.2881949,288.5881075,235.3593078,273.1654689,248.9460904,250.7617378,255.3112943,270.4151908,261.1205349,267.5624507
291.8969969,261.1676926,252.9168139,255.1589001,238.159233,259.7045224,278.1873527,280.7935507,260.4485671,247.236145,271.7456676,246.0734325,290.1234274,277.9603409,271.6367758,244.4926848,259.8638617,294.5442372,269.6466736,249.9601572,254.3955572,246.1697959,260.7310465,231.2557651,248.9221309,264.3729575,255.2671666,269.3374111,270.406411
308.4883344,242.1899835,252.6444451,239.3122031,299.370232,206.9422117,269.8118753,257.9775616,257.5115092,270.3820269,229.9212908,210.4228972,259.7782556,264.4151588,292.4520569,260.1756027,265.6949196,250.0759665,293.5243153,278.3080747,253.0991406,232.7770345,243.9132512,274.3171636,285.135666,252.1677347,266.1532844,259.3828476,283.5060673
274.2878807,249.8874221,236.2837507,251.9949106,282.3386742,261.4484908,264.824568,265.6864745,278.8112589,232.7925666,234.2135456,252.9894536,256.5276161,255.4937233,260.3850756,276.6247973,237.2841072,260.3270581,247.2612146,258.2018284,274.7779524,305.8173605,244.4955869,264.2415319,263.1375094,272.8814463,256.7292373,245.4472228,266.252478
248.9372257,262.8943187,236.4525325,255.3563017,273.3382731,241.3168527,284.0502622,244.4227471,250.2178217,256.0081591,269.7535109,252.5898437,277.116933,252.1089803,239.3844007,271.7132452,275.8162305,289.6980691,267.7776603,273.1125463,248.7749979,207.7952408,260.801755,261.6096482,267.3189032,264.3113295,235.4014563,267.922024,203.1972783
271.3246844,264.5396306,274.2249605,217.3193668,263.6954666,267.8971505,210.293201,236.3226815,264.7339316,277.4314983,244.2556645,290.5326531,266.4717806,232.8765058,245.3969512,207.636834,247.952801,258.9786925,271.2719151,278.4940938,266.0212886,258.1506017,274.7678359,254.0465828,280.8904778,282.4593762,275.7273561,283.5800088,272.838902
236.3936211,289.7997936,266.8442204,258.5036617,224.3994384,237.1356314,250.551668,267.503665,251.9106711,193.0990094,232.961447,278.7145482,225.6195152,249.7586891,274.6747947,253.7042008,274.2737444,283.7075513,293.9402593,270.2831704,264.1298381,244.9744421,253.625881,280.7756134,259.4965471,269.9309993,249.8414237,257.9883458,273.9451705
283.0766812,288.705763,286.1761298,259.4893428,278.7504455,284.6727138,243.5448775,245.7334342,245.4403465,263.8955232,227.2517681,249.0872298,260.5941023,280.4621009,276.3946445,267.7102927,288.1198875,284.0624992,255.3348414,237.8769125,273.5166499,253.1388942,252.560072,263.2262952,283.3865393,244.1193435,252.928887,238.203567,230.0161169
281.5270493,290.2312063,245.1729187,254.1059446,273.5157396,274.066042,266.1126038,265.9175866,247.1562238,264.8024246,283.2675257,241.6866306,227.1336637,271.5383492,290.4926012,244.3900953,243.9569886,293.7288422,231.7468562,258.0494098,278.4783007,291.9382378,242.8996713,242.5033293,260.5797573,271.9426603,241.5351179,250.2491954,259.635077
266.2287887,251.5123727,281.1341026,266.6471908,287.5526415,280.2193703,277.3143535,232.81489,265.1414254,271.972845,259.7443361,269.6709307,292.3604966,281.246497,275.2366332,290.1194933,294.2944858,296.6060265,282.9474472,283.5634326,288.8046706,237.8182854,223.6334619,276.3351154,267.2536162,275.5420287,253.0314328,255.8474934,296.8876513
277.8485226,284.1141172,240.0424608,274.5214323,295.388444,247.9240339,249.2989188,243.5505025,266.2975338,254.6240508,271.8944024,253.4554695,253.6591851,273.8207585,243.4179519,297.6681616,224.1955538,266.1067096,257.4141795,249.7375427,272.0816293,236.0054496,275.9110511,239.800891,250.7440974,266.2144449,245.8574729,258.4800064,247.688189
234.7391929,259.4709287,266.8774204,241.6332265,265.407706,287.1338587,290.1092882,224.4975726,267.698348,261.9462519,278.0298643,254.763261,274.2568279,204.5094732,288.6381009,265.3515072,250.8899497,254.0479689,269.6480447,257.3344715,281.111453,274.7309648,274.11022,252.4981708,252.0961142,261.450631,249.0933352,276.9806347,264.8254134
261.0981938,253.5772088,270.5178007,271.1382247,283.9595689,288.532716,238.58226,252.3327997,265.6976077,261.8986376,256.1138228,270.1322211,253.622918,305.3313931,281.8576549,233.2176541,248.2177213,267.4634196,265.1899201,274.5803351,259.0265828,288.2758887,264.4444759,274.3293159,251.3444297,270.1775302,250.4995357,218.6131286,306.7899212
285.4627544,267.5438083,296.2634989,272.2539504,252.9742904,293.9849157,239.1203508,240.8511088,239.5658903,248.5863431,268.7049662,264.4121415,298.7057987,261.1235365,282.6429921,242.5462035,271.9655024,266.7211088,271.4391828,247.4703879,238.7079349,257.2211323,244.3900627,260.3865217,264.4622138,244.7108842,278.0148743,239.0287436,272.584728
260.8648414,280.7067912,244.8006515,240.7540625,237.9881188,278.4994162,253.5876949,254.461252,248.0854582,263.9054886,281.939366,268.405289,297.5262528,276.5631041,267.8507739,255.6677083,269.4568403,251.8339364,275.561053,303.4013245,289.4104716,273.60109,259.3302449,259.3604491,258.7385358,288.079427,285.2541759,236.6806089,265.7914139
289.7609473,213.0303902,265.6833589,279.8348806,248.129608,289.8254334,309.5612728,249.9322985,251.0652687,255.2428376,256.1131514,282.1443802,261.4799421,282.3997448,278.5221396,261.9450389,236.3106805,290.4920277,276.9436246,242.9884005,315.4105936,251.958125,262.9001179,273.2931559,261.791457,248.428853,264.0861493,219.581174,280.1467412
270.9325457,285.3986582,217.5478679,267.6699446,266.4994115,256.2137712,261.1447921,243.079674,248.1922203,247.0725446,245.1442866,276.9472067,255.4483015,288.7018496,243.9460601,267.6932212,252.1387727,269.5047862,248.9316853,274.8996551,256.3331357,257.0827155,238.5058068,278.0074288,220.1222234,235.675963,257.9647638,209.5671759,253.0435065
243.2556265,238.9305373,264.2023656,289.6805635,234.7074651,271.8913515,289.0003044,284.9454406,251.392964,276.7002663,280.5101714,267.6653999,275.2784976,257.1176267,268.787938,259.6052138,282.5847914,254.267737,227.7678518,271.214563,245.6832315,265.5227924,236.1101783,270.2554655,252.5753896,254.7282485,262.6043392,251.464093,261.8070808
273.6219247,255.7570466,293.4430532,256.33511,270.6966285,255.4734278,247.7341525,259.4290481,258.799101,261.0751931,271.9579866,241.0823212,269.2688062,240.5564722,258.851168,249.3437656,270.1671665,270.8486633,241.8287895,301.4036619,243.0411037,259.4265522,265.109941,257.809316,244.5351233,265.561205,282.2743155,270.7034644,233.7958932
232.0609648,254.8495707,266.5354206,226.9437189,296.2928932,258.4278265,229.222113,234.728435,238.5820139,242.0965605,244.3272005,248.8845677,268.6441272,240.2280935,282.7417394,290.4966285,273.9858857,272.8609912,265.5288713,286.9441789,255.305041,249.472359,260.9741924,271.1787007,272.7250236,271.3606344,257.4064446,260.9059893,265.603891
267.0969537,283.1532782,246.6884139,269.3250888,258.3259205,299.2090277,249.5261748,244.513964,239.5519704,257.3024109,266.9317937,281.0567537,259.8207112,257.7881782,296.4032633,296.5965379,254.4996465,248.1735207,283.9916331,264.5000522,255.9803087,233.6298082,302.3924621,268.3602536,277.5795536,256.1480622,261.6383648,264.9576192,258.7875555
237.5100747,276.4955959,281.4442316,281.7789763,297.226049,268.2139228,272.6353894,254.3511308,253.7248429,261.8733354,262.0289474,263.3849923,274.1054167,265.3138677,297.9283863,291.4681777,258.3992565,269.6321103,269.1971628,281.2624509,250.0652282,264.6443655,263.1274029,248.8849784,271.9375852,270.4202047,256.6363072,280.5635297,224.6801626
218.34793,278.5860923,300.6453614,255.7861712,300.4973738,256.8530311,274.8840903,256.4005911,259.9934161,258.2288284,280.2363855,262.4898313,281.6349942,257.2564418,235.3041393,289.1529095,257.8398372,270.5280688,273.3197918,258.7210643,266.5110306,257.1680992,247.8664717,254.809058,293.3165851,248.0611698,259.6937199,236.0189987,279.2449175
257.3206644,268.8123132,293.0915011,220.3138898,259.5250754,279.5980577,230.9074166,250.3973388,262.7755249,235.4324219,221.0746102,253.7659725,249.6045138,258.8544257,238.0852815,244.466309,261.6420819,253.0329778,244.7441311,257.2800401,279.2026679,248.1031022,258.0678561,280.3929768,274.5116531,254.9117929,265.3068799,251.8801691,249.5088169
266.8546846,222.3118334,239.7266458,279.9084823,274.5212569,291.8609181,246.282585,242.9321889,274.356347,275.6380234,237.6030619,267.9063777,246.1546158,268.2310959,251.4364187,247.0640163,282.4013608,250.2130626,280.0914933,233.3056683,257.8369228,288.0575161,242.8874803,283.9697693,273.5376413,279.9373533,244.9148928,246.6888933,242.4423829
243.5350227,257.7554673,255.3447511,270.8094954,257.2369455,248.2013199,265.2579907,282.7153625,258.3053715,269.7371238,245.794355,238.4361984,251.4063431,263.1700835,301.5679626,269.6023487,278.5685933,259.9422708,280.3656593,269.8509327,237.6871107,293.952802,307.9315565,266.2825743,261.3256701,271.6842041,283.8722733,296.5055056,244.1357168
270.8093871,241.5772313,267.8040535,270.4343038,251.7195416,295.617884,253.2779115,275.2926388,251.6043241,262.0802215,303.76676,265.0614914,274.5028037,258.4537662,244.0348781,295.247624,267.3135322,252.0201946,254.7010995,266.5264465,249.0517627,266.6878468,288.2395694,275.7611508,245.094503,251.9629437,263.344234,234.7646408,271.7711677
256.4591885,230.5673073,241.81842,273.728696,254.6351688,261.9732533,273.9821127,258.1450053,238.6875176,246.6526257,250.4854358,294.1305448,307.0605653,287.7675088,237.9018894,266.2315292,258.3904982,254.8412606,238.2267293,282.7591826,268.6770622,301.4566117,259.4833761,266.5637958,237.8887403,270.7352964,258.3852205,244.635351,285.4763454
273.8253936,309.2565604,234.9203102,234.8315482,256.8939344,236.5209113,267.1902357,275.6641709,268.6474121,287.3396083,274.3207929,249.4057394,258.5008276,277.6175165,240.7845422,263.7318297,282.0219547,287.6074266,229.4774968,247.096686,233.650161,262.574004,271.0702832,251.4341393,248.8066858,297.7195909,285.4681444,259.4237801,275.2768615
284.149812,269.9329216,272.0728196,254.6051402,251.8423018,251.3966771,270.6304934,227.2963797,245.8780041,274.7859101,278.2792952,291.2698846,260.6422399,306.8923116,262.8249814,277.4309249,233.4048075,285.2643356,267.9683712,264.6937643,261.1045771,256.8155034,249.7578196,236.9783766,266.0377853,280.9329228,264.3932749,249.3310519,293.0732418
255.9968002,277.4442015,294.4713718,261.3757777,303.9608811,259.3597139,262.7659497,298.2691244,302.0621517,264.3517349,269.3649841,254.6206486,293.3617821,243.9868837,273.3375128,255.1624118,263.6433267,277.8812792,276.1888725,273.5730117,224.6512334,259.8628015,271.6803709,262.0735717,242.0595435,219.6731227,258.5335013,273.1025701,263.9057048
266.6531506,274.778664,268.5694407,229.3471826,269.5682107,284.0110208,258.4495366,252.8308551,253.9395711,258.0744147,259.6204352,261.7006616,286.3932763,249.5528717,261.9918657,267.8025895,229.7045239,273.6439474,259.2279358,270.0643671,261.7933815,272.9243133,257.6190302,255.8915826,203.4215832,262.5843263,265.5606847,255.0340644,270.8420898
267.5177463,288.3199227,264.0456626,298.2829548,269.3373877,286.8747386,258.9800953,263.8956451,306.2348447,283.1249294,226.9007295,252.3386741,270.2274477,275.9225756,237.7086997,256.4839383,249.5173957,252.7698662,275.7786788,257.3125795,276.3167523,293.5878652,286.1569358,255.4253141,242.7921065,251.9659191,264.9745529,301.4672622,272.2932003
260.5090739,250.5737836,228.6974968,274.1006841,255.3764715,252.2868749,249.778328,255.4777295,272.238213,283.3983561,254.0489555,245.3792788,248.6033846,269.0450874,263.4093603,253.9403553,279.1915423,282.9040053,237.718632,248.7922804,247.8712436,256.5161167,273.4161373,270.625946,267.2798148,281.4701514,265.3857252,298.2102927,264.705551
268.412179,300.7108212,284.2787591,250.760229,247.7071047,254.0749783,252.4318616,265.7718182,264.5842663,255.4282944,230.0595451,258.3979568,277.5968859,280.1185162,277.1481861,268.5707427,235.4958949,241.6209297,228.3591335,277.0072255,221.4283826,250.624651,308.8738702,260.3760438,289.6025265,292.4846647,267.1034736,213.4381593,284.9182592
254.497742,235.4943776,236.9336472,211.1821998,258.3735819,281.5125301,255.0902569,257.566888,287.3860974,233.8782855,235.8161908,271.8729023,264.5672308,244.3582861,256.8988055,240.1556385,309.3588517,266.0886275,275.1751946,256.8160303,284.6286633,265.2473757,245.0001595,254.5878551,278.4262333,242.3194832,260.1544447,256.460656,242.8712095
254.986559,257.6500844,285.6556116,262.8757298,264.0988467,247.8056341,276.0822783,248.8569255,228.3544536,256.345586,247.4077075,254.4694809,242.7356286,238.1083807,267.0243104,270.1248132,263.3403895,277.0900698,237.1271133,256.1049656,241.0590883,266.4606199,257.5532415,261.5932465,255.2953603,283.0914673,284.5001751,259.3246622,255.1158191
266.4557812,274.6688855,283.606198,258.9591252,262.3266657,274.9083287,277.0128075,289.3087627,268.0320871,255.1477715,231.5204713,281.4657635,248.378276,263.8791421,270.6096447,252.399115,260.5883334,265.3234113,281.4740251,245.0084456,271.0057231,266.6079474,244.1745587,277.8273662,258.0404977,309.6570196,260.1072286,265.7792229,230.699912
301.4805705,265.1361915,322.9542271,269.2196245,275.0070893,285.049378,291.4634683,244.0124077,277.8922178,248.5693887,225.4611137,240.1662656,268.0192518,280.0190194,249.3856101,295.2285224,306.220698,257.8021223,276.9351901,287.4668305,269.2671389,267.3208162,284.2589066,268.7323576,268.0183644,293.7180348,238.7111019,286.3368536,286.4607789
241.2269803,302.1624452,275.0617191,286.5539902,258.2085335,287.7273299,257.0722554,223.1571336,282.4855425,265.5287637,271.6663224,267.4011358,290.8450323,296.108512,257.427751,271.2046103,247.4390943,286.2223947,292.2976014,243.5626444,270.395191,232.3919098,236.1715429,260.0352846,223.453571,250.734485,219.4842108,260.4245492,263.4975502
247.2906472,265.600687,241.6707628,289.6619758,235.6021347,278.0735834,253.8601239,239.6264594,263.9775834,268.1019099,268.3760124,253.0126465,281.224463,275.5292933,289.9347509,250.6688668,273.0016658,304.410011,279.6177171,275.2132885,225.8712196,281.2602735,263.1486012,240.2318574,277.2671052,225.5838286,223.4217074,289.4522801,290.5315785
255.2286316,286.0377845,257.1655758,263.5104538,262.8202308,218.8170899,265.8873927,253.4300154,239.1559029,217.4204407,261.282134,277.1676363,273.8917756,282.379501,268.1639267,236.7657135,262.1731327,252.7727886,253.3428684,266.1530605,236.4413395,237.2602699,231.3505208,274.3116222,267.1017359,277.2944122,278.6570765,256.7621844,243.9716506
274.3479472,269.0198656,296.4428796,272.2546871,253.3803199,266.314261,225.6986638,245.3143537,249.5422564,281.5837722,277.8418999,261.1065462,230.301615,251.8511039,263.5316241,274.4669691,294.5557878,275.2080416,260.1424878,278.4532844,259.9313147,246.0462624,268.2629592,269.1819872,258.8340066,235.2120822,271.4086418,293.681078,284.0210093
247.4083906,249.7823553,258.6213556,261.1282041,276.3128382,294.2655236,289.1247314,244.4646874,280.2716148,296.4361369,266.0970677,257.1967183,284.5188102,285.625312,268.9478006,297.3524674,257.0595412,292.1167094,261.9641985,254.4458445,273.9961495,300.606738,271.7412331,249.2771544,215.3855104,267.4356273,269.0934851,277.2237511,269.5917007
232.764693,295.5174295,258.5750772,249.7007401,243.3026642,298.6735285,277.5093847,250.993137,238.7572287,253.0458297,309.6134198,283.8255865,255.8673645,276.790563,275.4422264,260.6750119,241.9656843,247.5406485,251.8841593,249.4993871,246.5118019,236.917895,273.0634887,245.7225868,263.7628319,278.7228873,254.6773416,247.4347358,235.7976889
212.8767839,297.0232243,235.1814029,279.9142053,236.1301793,248.4595648,279.5194483,233.4497419,285.884507,267.527561,265.3965091,277.2908183,225.6095847,266.3433496,255.3244659,281.6910982,265.8530984,260.0469244,256.4038657,250.6195343,265.3854513,216.1486488,248.1522798,289.1424372,253.8839514,260.3731668,284.4671438,245.9686438,245.5576349
247.2661173,263.6614649,264.330297,270.6701836,243.589971,279.48125,245.7190437,286.6207423,302.3432704,248.4664148,286.0012743,283.5112684,261.5327835,234.9184518,257.9680131,263.8771796,273.1652934,257.6298734,259.2035616,256.9709847,274.7658852,237.9081346,257.7180052,261.8855301,253.7923924,257.2545792,263.6358743,290.2170388,296.8789486
283.7267959,225.5681951,235.6748862,263.1648373,239.5924206,234.9317168,233.3667085,273.5419441,277.6877606,281.2983203,254.732958,292.1927297,261.34523,277.5288082,231.2429195,283.5196639,319.3199092,261.0236518,246.6781292,261.5592503,245.2403817,255.7202884,255.2228517,229.4622567,256.44398,245.5975534,223.5630174,288.9581813,261.0543848
280.2360632,249.987298,268.3533878,285.3972874,268.4136222,253.9891691,238.0512964,247.8647189,274.4464376,268.5458089,277.6666734,237.6662278,258.4809311,260.400067,256.0991817,301.9721742,257.8244474,265.5450649,217.3929704,269.2167162,273.9635396,257.4093105,301.5811061,288.2670342,231.0346072,246.1761975,271.5945733,279.3529344,243.7055916
308.2874716,280.1464656,248.8053293,279.1938001,233.931015,292.7833028,243.6242426,251.8640496,282.4270865,283.1037811,267.1378337,265.4683505,250.5328684,237.6490785,248.7241346,252.8042237,247.5504407,275.0228514,288.365825,279.0825744,227.5112615,259.1389526,300.859337,267.4325291,258.3809415,273.279772,289.4923267,250.0009642,225.3292271
254.0870269,283.8893339,269.7443325,249.9484794,271.2157535,264.1335676,279.4337421,270.6557911,269.9958863,241.6818816,273.931708,283.1809639,267.9907957,274.3867578,246.0416892,274.9852619,261.9576041,286.4096206,279.4712069,286.0314505,257.166729,275.7567821,260.5837666,252.8234124,304.2724313,254.7985652,268.5272234,253.7860768,277.3417177
284.1725249,234.1945532,263.0867893,272.8213201,261.7554226,246.957362,275.8518266,258.4528076,264.8595049,248.3808982,270.1918476,238.9609945,264.5865764,240.2133318,262.435328,263.7881719,328.5732197,250.4525685,285.8797373,237.9851684,238.298329,279.9691574,272.9886881,280.5702246,296.6679892,254.0267481,285.11405,255.5366355,259.3415952
248.3579101,240.3753774,260.5602309,276.7266251,250.6342749,264.3014634,262.4013894,251.6933969,251.0188741,275.832762,281.0162814,297.8829821,279.4141103,280.5227921,260.6635553,231.2213583,262.4561478,274.8662447,244.1734053,303.5476917,245.2809162,258.7749816,288.583394,274.5337893,288.9302844,298.1577997,249.1527809,281.632722,267.8751413
256.382436,295.4891879,270.0999492,303.4132034,244.3057477,281.5706585,278.1693219,235.8774065,262.304686,263.1962314,307.0401312,267.1274194,235.3008116,234.4755621,254.1709561,289.7436364,268.8806491,282.9799929,318.2115849,283.2019651,239.0065487,279.393286,272.4347643,225.3807709,289.7797075,231.4315879,287.3768249,287.3727288,273.6635806
271.6569221,248.5007303,312.1740537,249.2953656,276.6995805,255.6536669,259.0134674,295.0842603,297.0865318,279.2001872,276.019318,270.0226999,278.6408329,307.9247379,261.9053671,267.1766468,279.4070187,297.246343,269.1206503,242.509105,256.9879238,267.7889099,246.040562,284.2821794,271.2306705,252.449984,251.4140113,264.9307493,275.7105689
257.139729,259.0542513,254.5302838,239.2281016,251.6994552,304.9569663,266.4605371,282.038269,250.1788426,246.8697036,263.5947981,275.393436,274.5532486,279.6327322,262.5871391,256.4921314,262.0400034,274.7839414,230.8296191,243.6203652,249.7324497,231.6674262,286.2396651,257.5049355,234.7508749,273.4606937,260.6046453,274.5151417,253.2149978
254.6152997,267.6531684,239.3381926,263.0771701,271.121673,220.3122531,256.7818093,253.1614869,279.1503547,264.2660058,270.099572,256.1088695,260.8926893,282.4652891,288.4106548,272.7368562,228.7288191,276.4868209,194.5278863,278.5149245,274.8613353,269.9067753,269.5574135,285.1693059,265.9354873,252.5718925,264.9558266,278.0988493,252.9594047
272.4168684,296.6644243,236.2379635,235.7800607,251.0547552,243.7766555,286.8299247,248.2041716,254.9932981,269.6228338,289.538185,254.9632926,252.6969552,273.7666017,243.8360224,279.2505337,250.267128,250.680304,255.425172,242.093634,261.7261088,256.989428,247.544774,251.8947094,235.9822142,243.9731892,270.0080294,295.9747109,237.0233923
